r[ARCSEC] s[MAG/ARCSEC2] e_s[MAG/ARCSEC2] reference
0.3198895109691398 15.76 0.19854246628030653 trager+1995
0.3198895109691398 15.93 0.19854246628030653 trager+1995
0.3198895109691398 15.96 0.19854246628030653 trager+1995
0.3198895109691398 16.26 0.6618082209343551 trager+1995
0.3198895109691398 16.34 0.6618082209343551 trager+1995
0.4395416154378245 15.79 0.19854246628030653 trager+1995
0.4395416154378245 16.01 0.19854246628030653 trager+1995
0.4395416154378245 16.05 0.19854246628030653 trager+1995
0.4395416154378245 16.06 0.19854246628030653 trager+1995
0.5395106225151276 15.66 0.19854246628030653 trager+1995
0.5395106225151276 15.86 0.19854246628030653 trager+1995
0.5395106225151276 15.97 0.19854246628030653 trager+1995
0.5395106225151276 16.25 0.6618082209343551 trager+1995
0.5395106225151276 16.37 0.6618082209343551 trager+1995
0.660693448007596 15.79 0.19854246628030653 trager+1995
0.660693448007596 15.89 0.19854246628030653 trager+1995
0.660693448007596 15.97 0.19854246628030653 trager+1995
0.660693448007596 16.3 0.6618082209343551 trager+1995
0.660693448007596 16.37 0.6618082209343551 trager+1995
0.7396052750582378 15.92 0.19854246628030653 trager+1995
0.7396052750582378 16.04 0.19854246628030653 trager+1995
0.7396052750582378 16.08 0.19854246628030653 trager+1995
0.7396052750582378 16.19 0.19854246628030653 trager+1995
0.8090958991783823 15.67 0.19854246628030653 trager+1995
0.8090958991783823 15.86 0.19854246628030653 trager+1995
0.8090958991783823 15.98 0.19854246628030653 trager+1995
0.8090958991783823 16.3 0.6618082209343551 trager+1995
0.8090958991783823 16.39 0.6618082209343551 trager+1995
0.8994975815300352 15.88 0.19854246628030653 trager+1995
0.8994975815300352 15.96 0.19854246628030653 trager+1995
0.8994975815300352 16.05 0.19854246628030653 trager+1995
0.8994975815300352 16.08 0.19854246628030653 trager+1995
0.9908319448927676 15.8 0.19854246628030653 trager+1995
0.9908319448927676 15.83 0.19854246628030653 trager+1995
0.9908319448927676 16.01 0.19854246628030653 trager+1995
0.9908319448927676 16.31 0.6618082209343551 trager+1995
0.9908319448927676 16.41 0.6618082209343551 trager+1995
1.099005839432521 15.88 0.19854246628030653 trager+1995
1.099005839432521 16.06 0.19854246628030653 trager+1995
1.099005839432521 16.07 0.19854246628030653 trager+1995
1.099005839432521 16.11 0.19854246628030653 trager+1995
1.2105981335504823 15.74 0.19854246628030653 trager+1995
1.2105981335504823 15.77 0.19854246628030653 trager+1995
1.2105981335504823 16.03 0.19854246628030653 trager+1995
1.2105981335504823 16.35 0.6618082209343551 trager+1995
1.2105981335504823 16.43 0.6618082209343551 trager+1995
1.3489628825916535 15.95 0.19854246628030653 trager+1995
1.3489628825916535 16.08 0.19854246628030653 trager+1995
1.3489628825916535 16.1 0.19854246628030653 trager+1995
1.3489628825916535 16.16 0.19854246628030653 trager+1995
1.4791083881682074 15.74 0.19854246628030653 trager+1995
1.4791083881682074 15.87 0.19854246628030653 trager+1995
1.4791083881682074 16.02 0.19854246628030653 trager+1995
1.4791083881682074 16.39 0.6618082209343551 trager+1995
1.4791083881682074 16.47 0.6618082209343551 trager+1995
1.6481623915255081 16.04 0.19854246628030653 trager+1995
1.6481623915255081 16.1 0.19854246628030653 trager+1995
1.6481623915255081 16.11 0.19854246628030653 trager+1995
1.6481623915255081 16.12 0.19854246628030653 trager+1995
1.8113400926196026 15.78 0.19854246628030653 trager+1995
1.8113400926196026 15.92 0.19854246628030653 trager+1995
1.8113400926196026 16.04 0.19854246628030653 trager+1995
1.8113400926196026 16.43 0.6618082209343551 trager+1995
1.8113400926196026 16.49 0.6618082209343551 trager+1995
2.009092812608728 16.12 0.19854246628030653 trager+1995
2.009092812608728 16.14 0.19854246628030653 trager+1995
2.009092812608728 16.14 0.19854246628030653 trager+1995
2.009092812608728 16.15 0.19854246628030653 trager+1995
2.2080047330188997 15.8 0.19854246628030653 trager+1995
2.2080047330188997 15.99 0.19854246628030653 trager+1995
2.2080047330188997 16.08 0.19854246628030653 trager+1995
2.2080047330188997 16.47 0.6618082209343551 trager+1995
2.2080047330188997 16.54 0.6618082209343551 trager+1995
2.4603676041476272 16.17 0.19854246628030653 trager+1995
2.4603676041476272 16.18 0.19854246628030653 trager+1995
2.4603676041476272 16.25 0.19854246628030653 trager+1995
2.4603676041476272 16.26 0.19854246628030653 trager+1995
2.69773943244492 15.95 0.19854246628030653 trager+1995
2.69773943244492 16.08 0.19854246628030653 trager+1995
2.69773943244492 16.16 0.19854246628030653 trager+1995
2.69773943244492 16.51 0.6618082209343551 trager+1995
2.69773943244492 16.57 0.6618082209343551 trager+1995
2.9991625189876507 16.23 0.19854246628030653 trager+1995
2.9991625189876507 16.24 0.19854246628030653 trager+1995
2.9991625189876507 16.32 0.19854246628030653 trager+1995
2.9991625189876507 16.35 0.19854246628030653 trager+1995
3.2885163087598306 16.2 0.19854246628030653 trager+1995
3.2885163087598306 16.23 0.19854246628030653 trager+1995
3.2885163087598306 16.23 0.19854246628030653 trager+1995
3.2885163087598306 16.56 0.6618082209343551 trager+1995
3.2885163087598306 16.6 0.6618082209343551 trager+1995
3.672823004980846 16.31 0.19854246628030653 trager+1995
3.672823004980846 16.33 0.19854246628030653 trager+1995
3.672823004980846 16.42 0.19854246628030653 trager+1995
3.672823004980846 16.48 0.19854246628030653 trager+1995
4.017908108489399 16.3 0.19854246628030653 trager+1995
4.017908108489399 16.41 0.19854246628030653 trager+1995
4.017908108489399 16.48 0.19854246628030653 trager+1995
4.017908108489399 16.63 0.6618082209343551 trager+1995
4.017908108489399 16.65 0.6618082209343551 trager+1995
4.477133041763626 16.42 0.19854246628030653 trager+1995
4.477133041763626 16.43 0.19854246628030653 trager+1995
4.477133041763626 16.52 0.19854246628030653 trager+1995
4.477133041763626 16.6 0.19854246628030653 trager+1995
4.920395356814509 16.41 0.19854246628030653 trager+1995
4.920395356814509 16.66 0.19854246628030653 trager+1995
4.920395356814509 16.7 0.6618082209343551 trager+1995
4.920395356814509 16.71 0.6618082209343551 trager+1995
4.920395356814509 16.73 0.19854246628030653 trager+1995
5.482769649208537 16.55 0.19854246628030653 trager+1995
5.482769649208537 16.58 0.19854246628030653 trager+1995
5.482769649208537 16.65 0.19854246628030653 trager+1995
5.482769649208537 16.75 0.19854246628030653 trager+1995
6.011737374832781 16.63 0.19854246628030653 trager+1995
6.011737374832781 16.74 0.6618082209343551 trager+1995
6.011737374832781 16.78 0.6618082209343551 trager+1995
6.011737374832781 16.85 0.19854246628030653 trager+1995
6.011737374832781 16.87 0.19854246628030653 trager+1995
6.698846094165264 16.73 0.19854246628030653 trager+1995
6.698846094165264 16.75 0.19854246628030653 trager+1995
6.698846094165264 16.77 0.19854246628030653 trager+1995
6.698846094165264 16.84 0.19854246628030653 trager+1995
7.345138681571149 16.76 0.19854246628030653 trager+1995
7.345138681571149 16.78 0.6618082209343551 trager+1995
